,Country/Territory,Cases,Recovered,Deaths
82,Estonia,"134,479","129,312","1,276"
83,Uzbekistan,"133,852","127,309",910
84,Algeria,"178,013","119,152","4,441"
85,Kosovo,"109,039","105,704","2,270"
86,Botswana,"122,574","104,731","1,704"
87,Honduras,"304,181","102,384","8,052"
88,Mozambique,"129,036","101,333","1,538"
89,Montenegro,"102,879","99,216","1,635"
90,Ghana,"106,434","98,814",854
91,Namibia,"120,221","96,891","3,142"
92,Greece,"506,672","93,764","13,000"
93,Uganda,"94,904","87,633","2,752"
94,China,"93,374","87,453","4,636"
95,Zimbabwe,"114,489","84,889","3,754"
96,Afghanistan,"149,361","82,586","6,864"
97,El Salvador,"88,371","76,952","2,681"
98,Maldives,"77,999","75,253",222
99,Cambodia,"80,225","73,421","1,507"
100,Luxembourg,"74,212","72,447",824
101,Singapore,"65,508","63,457",40
102,Vietnam,"181,756","54,332","2,327"
103,Cote d'Ivoire,"50,893","49,710",338
104,Senegal,"65,333","49,234","1,441"
105,Jamaica,"53,839","47,127","1,211"
106,Finland,"109,982","46,000",985
107,Rwanda,"74,364","44,923",860
108,Madagascar,"42,685","41,177",943
109,Malawi,"54,715","40,450","1,748"
110,Angola,"43,269","39,847","1,032"
111,Cyprus,"104,469","39,061",433
112,Cameroon,"82,064","35,261","1,334"
113,Cabo Verde,"33,941","33,205",298
114,Malta,"34,668","32,642",424
115,Trinidad and Tobago,"39,577","32,637","1,117"
116,Sudan,"37,138","30,647","2,776"
117,Congo,"51,048","30,043","1,045"
118,Netherlands,"1,908,679","28,830","18,142"
119,Thailand,"693,305","26,873","5,663"
120,Gabon,"25,440","25,228",165
121,United Kingdom,"6,010,848","24,697","130,389"
122,Guinea,"26,188","24,463",238
123,Australia,"35,397","24,215",932
124,Ireland,"307,019","23,364","5,044"
125,Mauritania,"26,902","22,859",581
126,Eswatini,"29,397","22,446",827
127,Syria,"26,059","22,027","1,919"
128,Suriname,"25,614","21,978",657
129,Guyana,"22,705","21,452",551
130,Norway,"139,778","17,998",804
131,Seychelles,"18,582","17,992",94
132,Papua New Guinea,"17,774","17,384",192
133,Tajikistan,"15,440","14,948",122
134,Togo,"16,232","14,654",155
135,Andorra,"14,809","14,416",128
136,Mali,"14,615","13,977",534
137,Belize,"14,331","13,543",338
138,Burkina Faso,"13,599","13,385",169
139,Taiwan,"15,753","13,001",791
140,Haiti,"20,326","12,961",563
141,Bahamas,"15,191","12,782",295
142,Congo (Republic of),"13,216","12,421",178
143,Hong Kong,"12,002","11,721",212
144,Djibouti,"11,656","11,495",156
145,Fiji,"34,888","11,233",283
146,South Sudan,"11,090","10,514",120
147,Timor-Leste,"11,225","10,039",26
148,Equatorial Guinea,"8,928","8,709",123
149,Benin,"8,608","8,136",110
150,Somalia,"15,735","7,695",837
151,Gambia,"8,392","7,310",233
152,Iceland,"8,508","7,087",30
153,Central African Republic,"7,151","6,859",98
154,Lesotho,"13,603","6,664",377
155,Eritrea,"6,573","6,484",35
156,Saint Lucia,"5,688","5,404",90
157,Niger,"5,669","5,354",196
158,San Marino,"5,147","5,009",90
159,Chad,"4,976","4,796",174
160,Sierra Leone,"6,303","4,293",120
161,Yemen,"7,104","4,271","1,383"
162,Barbados,"4,433","4,251",48
163,Nicaragua,"9,853","4,225",196
164,Guinea-Bissau,"4,629","4,027",79
165,Comoros,"4,030","3,873",147
166,Laos,"7,511","3,804",7
167,Liechtenstein,"3,092","3,018",59
168,New Zealand,"2,881","2,824",26
169,Monaco,"2,961","2,770",33
170,Liberia,"5,459","2,715",148
171,Bhutan,"2,543","2,434",2
172,Sao Tome and Principe,"2,465","2,365",37
173,St Vincent & the Grenadines,"2,298","2,233",12
174,Mauritius,"4,592","1,854",20
175,Antigua & Barbuda,"1,311","1,239",43
176,Burundi,"7,714",773,38
177,Saint Kitts & Nevis,600,549,3
178,Brunei,339,289,3
179,Dominica,218,209,0
180,Tanzania,"1,017",183,21
181,Grenada,164,161,1
182,Macau,63,54,0
183,Holy See,27,27,0
184,Solomon Islands,20,20,0
185,Western Sahara,10,8,1
186,Marshall Islands,4,4,0
187.5,Samoa,3,3,0
187.5,Vanuatu,4,3,1
190.5,Belgium,"1,132,934",0,"25,258"
190.5,Serbia,"724,097",0,"7,132"
190.5,Sweden,"1,103,693",0,"14,657"
190.5,United States,"35,427,803",0,"615,281"
